"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor","","","",24,0.0833333333333333,0.265625,0.416666666666667,5,1.39094170998634
"Lesser Whistling-Duck","Dendrocygna javanica","X","X","X",334,0.107784431137725,0.339071856287425,0.467065868263473,5.54790419161677,0.473486511279537
"Bar-headed Goose","Anser indicus","X","X","X",151,0.145695364238411,0.347682119205298,0.437086092715232,5.84105960264901,0.73373310645531
"Graylag Goose","Anser anser","X","X","X",90,0.2,0.354166666666667,0.422222222222222,4.9,0.727685997777062
"Greater White-fronted Goose","Anser albifrons","","","",10,NA,0.257142857142857,0.3,5.3,1.75429428672741
"Lesser White-fronted Goose","Anser erythropus","","","",6,NA,0.166666666666667,NA,5.66666666666667,2.18647153600905
"Taiga Bean-Goose","Anser fabalis","","","",1,NA,NA,NA,5,NA
"Tundra Bean-Goose","Anser serrirostris","","","",1,NA,NA,NA,3,NA
"Red-breasted Goose","Branta ruficollis","","","",3,NA,0.444444444444444,NA,6,4.08006535895362
"Mute Swan","Cygnus olor","","","",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","","","",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","","","",NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos","X","X","X",164,0.0792682926829268,0.278963414634146,0.384146341463415,5.6280487804878,0.731582508932704
"Ruddy Shelduck","Tadorna ferruginea","X","X","X",262,0.125954198473282,0.342080152671756,0.427480916030534,5.21374045801527,0.485401334536323
"Common Shelduck","Tadorna tadorna","","","",34,0.264705882352941,0.246323529411765,0.235294117647059,5.5,1.21970423930252
"Cotton Pygmy-Goose","Nettapus coromandelianus","X","X","X",189,0.121693121693122,0.271164021164021,0.375661375661376,5.84126984126984,0.670100063489025
"Mandarin Duck","Aix galericulata","","","",NA,NA,NA,NA,NA,NA
"Baikal Teal","Sibirionetta formosa","","","",3,0.333333333333333,NA,NA,2.66666666666667,1.72855752322887
"Garganey","Spatula querquedula","X","X","X",189,0.132275132275132,0.273148148148148,0.275132275132275,5.5978835978836,0.63669200985036
"Northern Shoveler","Spatula clypeata","X","X","X",206,0.135922330097087,0.316747572815534,0.378640776699029,5.40776699029126,0.603351470781385
"Gadwall","Mareca strepera","X","X","X",184,0.119565217391304,0.30366847826087,0.375,5.03804347826087,0.581978895407703
"Falcated Duck","Mareca falcata","","","",11,0.545454545454545,0.193181818181818,0.363636363636364,6,2.53494557947682
"Eurasian Wigeon","Mareca penelope","X","X","X",162,0.141975308641975,0.281635802469136,0.277777777777778,5.44444444444444,0.641273558400969
"Indian Spot-billed Duck","Anas poecilorhyncha","X","X","X",327,0.100917431192661,0.349388379204893,0.464831804281346,5.30275229357798,0.473939512281838
"Eastern Spot-billed Duck","Anas zonorhyncha","","","",6,0.166666666666667,0.416666666666667,0.833333333333333,6.66666666666667,2.61333333333333
"Mallard","Anas platyrhynchos","X","X","X",81,0.197530864197531,0.33641975308642,0.382716049382716,5.80246913580247,0.800477581879469
"Northern Pintail","Anas acuta","X","X","X",238,0.168067226890756,0.314075630252101,0.365546218487395,5.44117647058824,0.541959532533839
"Green-winged Teal","Anas crecca","X","X","X",212,0.179245283018868,0.310731132075472,0.377358490566038,5.54245283018868,0.5916936630768
"Andaman Teal","Anas albogularis","","","X",2,0.5,0.5,NA,6,9.8
"Marbled Teal","Marmaronetta angustirostris","","","X",2,1,NA,NA,4,5.88
"Pink-headed Duck","Rhodonessa caryophyllacea","","","X",NA,NA,NA,NA,NA,NA
"White-winged Duck","Asarcornis scutulata","X","X","X",7,0.285714285714286,0.285714285714286,0.142857142857143,6.42857142857143,1.64859536171453
"Red-crested Pochard","Netta rufina","","X","X",129,0.155038759689922,0.25484496124031,0.286821705426357,5.50387596899225,0.752555697087543
"Common Pochard","Aythya ferina","X","X","X",150,0.133333333333333,0.284166666666667,0.38,5.17333333333333,0.672284881200986
"Ferruginous Duck","Aythya nyroca","","X","X",75,0.226666666666667,0.296666666666667,0.333333333333333,4.94666666666667,0.93232539448478
