"eBird.English.Name.2025","SoIB.Major.Update.Long.Term.Status","SoIB.Major.Update.Current.Status","SoIB.Major.Update.Range.Status","SoIB.Major.Update.Priority.Status"
"Abbott's Babbler",NA,NA,NA,NA
"Aberrant Bush Warbler",NA,NA,NA,NA
"Alexandrine Parakeet","Insufficient Data","Insufficient Data",NA,"Moderate"
"Alpine Accentor",NA,NA,NA,NA
"Alpine Swift","Insufficient Data","Trend Inconclusive",NA,"Low"
"Alpine Thrush",NA,NA,NA,NA
"Altai Accentor",NA,NA,NA,NA
"American Golden-Plover",NA,NA,NA,NA
"Amur Falcon","Insufficient Data","Insufficient Data",NA,"Low"
"Amur Paradise-Flycatcher",NA,NA,NA,NA
"Amur Stonechat",NA,NA,NA,NA
"Andaman Boobook",NA,NA,NA,NA
"Andaman Bulbul",NA,NA,NA,NA
"Andaman Coucal",NA,NA,NA,NA
"Andaman Crake",NA,NA,NA,NA
"Andaman Cuckoo-Dove",NA,NA,NA,NA
"Andaman Cuckooshrike",NA,NA,NA,NA
"Andaman Drongo",NA,NA,NA,NA
"Andaman Flowerpecker",NA,NA,NA,NA
"Andaman Green-Pigeon",NA,NA,NA,NA
"Andaman Masked-Owl",NA,NA,NA,NA
"Andaman Nightjar",NA,NA,NA,NA
"Andaman Scops-Owl",NA,NA,NA,NA
"Andaman Serpent-Eagle",NA,NA,NA,NA
"Andaman Shama",NA,NA,NA,NA
"Andaman Teal",NA,NA,NA,NA
"Andaman Treepie",NA,NA,NA,NA
"Andaman Wood-Pigeon",NA,NA,NA,NA
"Andaman Woodpecker",NA,NA,NA,NA
"Arctic Loon",NA,NA,NA,NA
"Arctic Tern",NA,NA,NA,NA
"Arctic Warbler",NA,NA,NA,NA
"Ashambu Laughingthrush","Insufficient Data","Insufficient Data",NA,"High"
"Ashy Bulbul",NA,NA,NA,NA
"Ashy Drongo","Insufficient Data","Trend Inconclusive",NA,"Low"
"Ashy Minivet",NA,NA,NA,NA
"Ashy Prinia","Rapid Increase","Trend Inconclusive",NA,"Low"
"Ashy Wood-Pigeon",NA,NA,NA,NA
"Ashy Woodswallow","Rapid Decline","Stable",NA,"Moderate"
"Ashy-crowned Sparrow-Lark","Insufficient Data","Decline",NA,"Moderate"
"Ashy-headed Green-Pigeon",NA,NA,NA,NA
"Ashy-throated Warbler",NA,NA,NA,NA
"Asian Barred Owlet",NA,NA,NA,NA
"Asian Brown Flycatcher","Insufficient Data","Decline",NA,"Moderate"
"Asian Desert Warbler",NA,NA,NA,NA
"Asian Dowitcher",NA,NA,NA,NA
"Asian Emerald Cuckoo",NA,NA,NA,NA
"Asian Emerald Dove","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Fairy-bluebird","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Glossy Starling",NA,NA,NA,NA
"Asian Green Bee-eater","Trend Inconclusive","Stable",NA,"Low"
"Asian Houbara",NA,NA,NA,NA
"Asian House-Martin",NA,NA,NA,NA
"Asian Koel","Rapid Increase","Trend Inconclusive",NA,"Low"
"Asian Openbill","Insufficient Data","Stable",NA,"Low"
"Asian Palm Swift","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Stubtail",NA,NA,NA,NA
"Asian Tit","Insufficient Data","Trend Inconclusive",NA,"Low"
"Asian Woolly-necked Stork","Insufficient Data","Decline",NA,"Moderate"
"Assam Laughingthrush",NA,NA,NA,NA
"Australasian Grass-Owl",NA,NA,NA,NA
"Azure Tit",NA,NA,NA,NA
"Baer's Pochard",NA,NA,NA,NA
"Baikal Bush Warbler",NA,NA,NA,NA
"Baikal Teal",NA,NA,NA,NA
"Baillon's Crake","Insufficient Data","Insufficient Data",NA,"Low"
"Banasura Laughingthrush",NA,NA,NA,NA
"Banded Bay Cuckoo","Insufficient Data","Insufficient Data",NA,"Low"
"Bank Myna",NA,NA,NA,NA
"Bank Swallow","Insufficient Data","Insufficient Data",NA,"Low"
"Bar-headed Goose","Insufficient Data","Insufficient Data",NA,"Low"
"Bar-tailed Godwit","Insufficient Data","Insufficient Data",NA,"Moderate"
"Bar-tailed Treecreeper",NA,NA,NA,NA
"Bar-winged Flycatcher-shrike","Insufficient Data","Trend Inconclusive",NA,"Low"
"Bar-winged Wren-Babbler",NA,NA,NA,NA
"Barau's Petrel",NA,NA,NA,NA
"Barn Swallow","Trend Inconclusive","Decline",NA,"Moderate"
"Barred Buttonquail","Insufficient Data","Insufficient Data",NA,"Low"
"Barred Cuckoo-Dove",NA,NA,NA,NA
"Barred Warbler",NA,NA,NA,NA
"Bay Woodpecker",NA,NA,NA,NA
"Bay-backed Shrike","Insufficient Data","Trend Inconclusive",NA,"Low"
"Baya Weaver","Insufficient Data","Stable",NA,"Low"
"Beach Thick-knee",NA,NA,NA,NA
"Bearded Vulture",NA,NA,NA,NA
"Beautiful Nuthatch",NA,NA,NA,NA
"Beautiful Sibia",NA,NA,NA,NA
"Bengal Bushlark",NA,NA,NA,NA
"Bengal Florican",NA,NA,NA,NA
"Besra","Insufficient Data","Insufficient Data",NA,"Low"
"Bhutan Laughingthrush",NA,NA,NA,NA
"Bimaculated Lark",NA,NA,NA,NA
"Black Baza","Insufficient Data","Insufficient Data",NA,"Moderate"
"Black Bittern","Insufficient Data","Rapid Decline",NA,"Moderate"
"Black Bulbul",NA,NA,NA,NA
"Black Drongo","Rapid Increase","Stable",NA,"Low"
"Black Eagle","Insufficient Data","Trend Inconclusive",NA,"Low"
"Black Francolin",NA,NA,NA,NA
"Black Kite","Decline","Decline",NA,"Moderate"
"Black Noddy",NA,NA,NA,NA
"Black Redstart","Insufficient Data","Insufficient Data",NA,"Low"
"Black Stork","Insufficient Data","Insufficient Data",NA,"Low"
"Black Tern",NA,NA,NA,NA
"Black-and-orange Flycatcher","Rapid Decline","Trend Inconclusive",NA,"High"
"Black-and-yellow Grosbeak",NA,NA,NA,NA
"Black-backed Dwarf-Kingfisher","Insufficient Data","Insufficient Data",NA,"Moderate"
"Black-backed Forktail",NA,NA,NA,NA
"Black-bellied Plover","Insufficient Data","Insufficient Data",NA,"Low"
"Black-bellied Sandgrouse",NA,NA,NA,NA
"Black-bellied Storm-Petrel",NA,NA,NA,NA
"Black-bellied Tern","Insufficient Data","Insufficient Data",NA,"High"
"Black-breasted Parrotbill",NA,NA,NA,NA
"Black-breasted Thrush",NA,NA,NA,NA
"Black-breasted Weaver","Insufficient Data","Insufficient Data",NA,"Moderate"
"Black-browed Reed Warbler",NA,NA,NA,NA
"Black-browed Tit",NA,NA,NA,NA
"Black-capped Kingfisher","Insufficient Data","Insufficient Data",NA,"Moderate"
"Black-chinned Babbler",NA,NA,NA,NA
"Black-chinned Yuhina",NA,NA,NA,NA
"Black-crested Bulbul",NA,NA,NA,NA
"Black-crowned Night Heron","Insufficient Data","Stable",NA,"Low"
"Black-crowned Scimitar-Babbler",NA,NA,NA,NA
"Black-crowned Sparrow-Lark",NA,NA,NA,NA
"Black-eared Shrike-Babbler",NA,NA,NA,NA
"Black-faced Bunting",NA,NA,NA,NA
"Black-faced Laughingthrush",NA,NA,NA,NA
"Black-faced Warbler",NA,NA,NA,NA
"Black-headed Bulbul",NA,NA,NA,NA
"Black-headed Bunting",NA,NA,NA,NA
"Black-headed Cuckooshrike","Insufficient Data","Rapid Decline",NA,"Moderate"
"Black-headed Greenfinch",NA,NA,NA,NA
"Black-headed Gull","Insufficient Data","Insufficient Data",NA,"Low"
"Black-headed Ibis","Insufficient Data","Stable",NA,"Low"
"Black-headed Jay",NA,NA,NA,NA
"Black-headed Mountain Finch",NA,NA,NA,NA
"Black-headed Shrike-Babbler",NA,NA,NA,NA
"Black-hooded Oriole","Insufficient Data","Trend Inconclusive",NA,"Low"
"Black-legged Kittiwake",NA,NA,NA,NA
"Black-naped Monarch","Insufficient Data","Trend Inconclusive",NA,"Low"
"Black-naped Oriole","Insufficient Data","Insufficient Data",NA,"Low"
"Black-naped Tern",NA,NA,NA,NA
"Black-necked Crane",NA,NA,NA,NA
"Black-necked Stork",NA,NA,NA,NA
"Black-rumped Flameback","Insufficient Data","Stable",NA,"Low"
"Black-rumped Magpie",NA,NA,NA,NA
"Black-tailed Crake",NA,NA,NA,NA
"Black-tailed Godwit","Insufficient Data","Rapid Decline",NA,"Moderate"
"Black-throated Accentor",NA,NA,NA,NA
"Black-throated Munia","Insufficient Data","Insufficient Data",NA,"Moderate"
"Black-throated Parrotbill",NA,NA,NA,NA
"Black-throated Prinia",NA,NA,NA,NA
"Black-throated Sunbird",NA,NA,NA,NA
"Black-throated Thrush",NA,NA,NA,NA
"Black-throated Tit",NA,NA,NA,NA
"Black-winged Cuckooshrike","Insufficient Data","Insufficient Data",NA,"Low"
"Black-winged Kite","Trend Inconclusive","Decline",NA,"Moderate"
"Black-winged Snowfinch",NA,NA,NA,NA
"Black-winged Stilt","Insufficient Data","Decline",NA,"Moderate"
"Blanford's Rosefinch",NA,NA,NA,NA
"Blanford's Snowfinch",NA,NA,NA,NA
"Blood Pheasant",NA,NA,NA,NA
"Blossom-headed Parakeet",NA,NA,NA,NA
"Blue Pitta",NA,NA,NA,NA
"Blue Rock-Thrush","Insufficient Data","Insufficient Data",NA,"Low"
"Blue Whistling-Thrush",NA,NA,NA,NA
"Blue-and-white Flycatcher",NA,NA,NA,NA
"Blue-bearded Bee-eater","Insufficient Data","Insufficient Data",NA,"Low"
"Blue-billed White-Tern",NA,NA,NA,NA
"Blue-breasted Quail",NA,NA,NA,NA
"Blue-capped Redstart",NA,NA,NA,NA
"Blue-capped Rock-Thrush","Insufficient Data","Insufficient Data",NA,"Low"
"Blue-cheeked Bee-eater",NA,NA,NA,NA
"Blue-eared Barbet",NA,NA,NA,NA
"Blue-eared Kingfisher","Insufficient Data","Insufficient Data",NA,"Low"
"Blue-faced Malkoha","Stable","Trend Inconclusive",NA,"Low"
"Blue-fronted Redstart",NA,NA,NA,NA
"Blue-fronted Robin",NA,NA,NA,NA
"Blue-naped Pitta",NA,NA,NA,NA
"Blue-tailed Bee-eater","Insufficient Data","Trend Inconclusive",NA,"Low"
"Blue-throated Barbet",NA,NA,NA,NA
"Blue-throated Bee-eater",NA,NA,NA,NA
"Blue-throated Flycatcher","Insufficient Data","Trend Inconclusive",NA,"Low"
"Blue-winged Laughingthrush",NA,NA,NA,NA
"Blue-winged Leafbird",NA,NA,NA,NA
"Blue-winged Minla",NA,NA,NA,NA
"Blue-winged Pitta",NA,NA,NA,NA
"Bluethroat","Insufficient Data","Insufficient Data",NA,"Low"
"Blunt-winged Warbler",NA,NA,NA,NA
"Blyth's Kingfisher",NA,NA,NA,NA
"Blyth's Leaf Warbler",NA,NA,NA,NA
"Blyth's Paradise-Flycatcher",NA,NA,NA,NA
"Blyth's Pipit","Insufficient Data","Insufficient Data",NA,"Low"
"Blyth's Reed Warbler","Trend Inconclusive","Decline",NA,"Moderate"
"Blyth's Rosefinch",NA,NA,NA,NA
"Blyth's Swift","Insufficient Data","Insufficient Data",NA,"Moderate"
"Blyth's Tragopan",NA,NA,NA,NA
"Bohemian Waxwing",NA,NA,NA,NA
"Bonelli's Eagle","Insufficient Data","Trend Inconclusive",NA,"Low"
"Booted Eagle","Insufficient Data","Decline",NA,"Moderate"
"Booted Warbler","Insufficient Data","Trend Inconclusive",NA,"Low"
"Boreal Owl",NA,NA,NA,NA
"Brahminy Kite","Insufficient Data","Stable",NA,"Low"
